,name,street_type
406,Sjustjärnan,other
407,Rappedalsvägen,vägen
408,Rannebergsvägen,vägen
409,Persiljegatan,gatan
410,Rosmaringatan,gatan
411,Paprikagatan,gatan
412,Körvelgatan,gatan
413,Mejramgatan,gatan
414,Anisgatan,gatan
415,Kryddnejlikegatan,gatan
416,Kryddpeppargatan,gatan
417,Kummingatan,gatan
418,Svarte Filips gata,gatan
419,Teleskopgatan,gatan
420,Sandspåret,other
421,Siriusbacken,backen
422,Olof Rudbecksgatan,gatan
423,Härlandavägen,vägen
424,Lugnet,other
425,Gatsmygen,other
426,Kungsladugårdsgatan,gatan
427,Bokekullsgatan,gatan
428,Skäpplandsgatan,gatan
429,Landskapsstugevägen,vägen
430,Lilla Dammpromenaden,other
431,Björngårdsängen,other
432,Mjölkebacksstigen,other
433,Flaggatan,gatan
434,Polstjärnegatan,gatan
435,Stenbocksgatan,gatan
436,Cronackersgatan,gatan
437,Stålhandskegatan,gatan
438,Säterigatan,gatan
439,Åbogårdsgatan,gatan
440,Mörnersgatan,gatan
441,Prästvägen,vägen
442,Solskiftesgatan,gatan
443,Trekantsgatan,gatan
444,Kalendervägen,vägen
445,Vårmånadsgatan,gatan
446,Siriusgatan,gatan
447,Lilla Björn,other
448,Björnväktarens gata,gatan
449,Orion,other
450,Kvibergs Broväg,vägen
451,von Utfallsgatan,gatan
452,Sävenäsleden,leden
453,Kvibergsvägen,vägen
454,Runstavsgatan,gatan
455,Slakthusgatan,gatan
456,Marieholmsgatan,gatan
457,Institutsgatan,gatan
458,Burgårdsplatsen,other
459,Richertsgatan,gatan
460,Valhallabron,other
461,Odinsplatsen,other
462,Polhemsplatsen,other
463,Åkareplatsen,other
464,Eva Rodhes Gata,gatan
465,Adler Salvius Gata,gatan
466,Barnhusgatan,gatan
467,Burggreveplatsen,other
468,Färgaregatan,gatan
469,Folkungagatan,gatan
470,Baldersgatan,gatan
471,Stampgatan,gatan
472,Baldersplatsen,other
473,Burggrevegatan,gatan
474,Alströmergatan,gatan
475,Svingeln,other
476,Bältgatan,gatan
477,Norra Ågatan,gatan
478,Almqvists Bro,other
479,Garverigatan,gatan
480,Lilla Garverigatan,gatan
481,Redbergsvägen,vägen
482,Gullbergsbrogatan,gatan
483,Bauersgatan,gatan
484,Kobbarnas Väg,other
485,Lagerströmsplatsen,other
486,Norra Gubberogatan,gatan
487,Södra Gubberogatan,gatan
488,Willinsbron,other
489,Källhusgatan,gatan
490,Vestagatan,gatan
491,Venusgatan,gatan
492,Norra Kustbanegatan,gatan
493,Ullevigatan,gatan
494,Rantorget,torget
495,Johan Willins Gata,gatan
496,Smedmästare Karlssons Gångväg,vägen
497,Lilla Stampgatan,gatan
498,Drakegatan,gatan
499,Gårdavägen,vägen
500,Åvägen,vägen
501,Gårdatorget,torget
502,Johan på Gårdas Gata,gatan
503,Vädursgatan,gatan
504,Blekeallén,other
505,Tomtegatan,gatan
506,Tritongatan,gatan
507,Gudmundsgatan,gatan
508,Underåsgatan,gatan
509,Sven Rydells gata,gatan
510,Burgårdsgatan,gatan
511,Elfrida Andrées Gata,gatan
512,Plejadgatan,gatan
513,Förmansgatan,gatan
514,Plåtslagaregatan,gatan
515,Fridhemsgatan,gatan
516,Grimmeredsvägen,vägen
517,Tonhöjdsgatan,gatan
518,Bohusgatan,gatan
519,Årstidsgatan,gatan
520,Rödstensvägen,vägen
521,Kattholmsvägen,vägen
522,Trebänavägen,vägen
523,Astronomgatan,gatan
524,Tycho Brahes Gata,gatan
525,Keplers gata,gatan
526,Danska Vägen,other
527,Stafettgatan,gatan
528,Syster Estrids Gata,gatan
529,Doktor Lindhs Gata,gatan
530,Atmosfärgatan,gatan
531,Stratosfärgatan,gatan
532,Bergsjöbadet,other
533,Universumsbacken,backen
534,Kosmosgatan,gatan
535,Universumsgatan,gatan
536,Zenitgatan,gatan
537,Kometgatan,gatan
538,Komettorget,torget
539,Nebulosagatan,gatan
540,Meteorgatan,gatan
541,Saturnusgatan,gatan
542,Plutovägen,vägen
543,Stjärnbildsbacken,backen
544,Flygfältsgatan,gatan
545,Flygledarevägen,vägen
546,Pianogatan,gatan
547,Göteborgsvägen,vägen
548,Smörslottsgatan,gatan
549,Västra Skansgatan,gatan
550,Mellangatan,gatan
551,Frigångsgatan,gatan
552,Lilla Bergsgatan,gatan
553,Carl Grimbergsgatan,gatan
554,Spekebergsgatan,gatan
555,Medicinaregatan,gatan
556,Bruksgatan,gatan
557,Lilla Risåsgatan,gatan
558,Sveagatan,gatan
559,Carl Johans Kyrkoplan,other
560,Vänmötet,other
561,Stjernsköldsgatan,gatan
562,Kålgårdsgatan,gatan
563,Klintens väg,vägen
564,Sundshagsgatan,gatan
565,Skytteskogsgatan,gatan
566,Slottsskrivaregatan,gatan
567,Guvernörsgatan,gatan
568,Conricusgatan,gatan
569,Sandeklevsbacken,backen
570,Stjärnbildsgatan,gatan
571,Liljeforsgatan,gatan
572,Gröndalsgatan,gatan
573,Doktor Weltzins Gata,gatan
574,Finn Malmgrensgatan,gatan
575,Åkerlingsgatan,gatan
576,Töpelsgatan,gatan
577,Brudaremossen,other
578,Olbersgatan,gatan
579,Dybecksgatan,gatan
580,Förtroligheten,other
581,Olof Skötkonungsgatan,gatan
582,Robertshöjdsgatan,gatan
583,Engdahlsgatan,gatan
584,Smidesgatan,gatan
585,Galvaniseringsgatan,gatan
586,Stenkolsgatan,gatan
587,Kolgruvegatan,gatan
588,Manufakturgatan,gatan
589,Kalkbruksgatan,gatan
590,Stålverksgatan,gatan
591,Järnmalmsgatan,gatan
592,Lergodsgatan,gatan
593,Bankogatan,gatan
594,Skiljemyntsgatan,gatan
595,Lilla Kapplandsgatan,gatan
596,Kullegatan,gatan
597,Grågåsgatan,gatan
598,Dalgångsgatan,gatan
599,Lindströmsgatan,gatan
600,Stenhuggaregatan,gatan
601,Hultgrensgatan,gatan
602,Bergsprängaregatan,gatan
603,Pilbågsgatan,gatan
604,Brushanegatan,gatan
605,Formskäraregatan,gatan
606,Schaktmästaregatan,gatan
607,Doktor Allards Gata,gatan
608,Östra Gunnesgärde,other
609,Västra Gunnesgärde,other
610,Gunnestorpsvägen,vägen
611,Lilleskogsvägen,vägen
612,Norumsgärde,other
613,Norra Stenebyvägen,vägen
614,Tångedal,other
615,Amund Grefwegatan,gatan
616,Landalagatan,gatan
617,Holtermansgatan,gatan
618,Daniel Petterssons gata,gatan
619,Raketgatan,gatan
620,Dalheimersgatan,gatan
621,Hildedalsgatan,gatan
622,Södra Hildedalsgatan,gatan
623,Finlandsvägen,vägen
624,Kjellbergsgatan,gatan
625,Pontus Wiknersgatan,gatan
626,Ålandsgatan,gatan
627,Lennart Torstenssonsgatan,gatan
628,Högåsplatsen,other
629,Högåstrappan,other
630,Ekmansgatan,gatan
631,Soterusgatan,gatan
632,Helmutsrogatan,gatan
633,Drivhusgatan,gatan
634,Egnahemsvägen,vägen
635,Kolonigatan,gatan
636,Rosensköldsgatan,gatan
637,Spaldingsgatan,gatan
638,Örnehufvudsgatan,gatan
639,von Gerdesgatan,gatan
640,Säve Flygplatsväg,vägen
641,Tideräkningsgatan,gatan
642,Wieselgrensgatan,gatan
643,Eketrägatan,gatan
644,Kyrkbytorget,torget
645,Badvädersgatan,gatan
646,Svartedalsgatan,gatan
647,Långströmsgatan,gatan
648,Solstrålegatan,gatan
649,Norra Fjädermolnsgatan,gatan
650,Varmfrontsgatan,gatan
651,Rimfrostgatan,gatan
652,Temperaturgatan,gatan
653,Bernhards Gränd,other
654,Södra Fjädermolnsgatan,gatan
655,Orustgatan,gatan
656,Chapmansgatan,gatan
657,Kusttorget,torget
658,Utlandagatan,gatan
659,Saltholmsgatan,gatan
660,Doktor Sven Johanssons Backe,other
661,Petrifängsgatan,gatan
662,Petterkattsgatan,gatan
663,Decembergatan,gatan
664,Allhelgonagatan,gatan
665,Adventsvägen,vägen
666,Tusenårsgatan,gatan
667,Doktor Saléns gata,gatan
668,Doktor Fries Torg,other
669,Mossgatan,gatan
670,Doktor Belfrages gata,gatan
671,Ängemarken,other
672,Lövskogsgatan,gatan
673,Fanny Gréns Väg,other
674,Södermalmsgatan,gatan
675,Gränsgatan,gatan
676,Askims Pilegårdsväg,vägen
677,Lilla Pusterviksgatan,gatan
678,Pusterviksgatan,gatan
679,Brogatan,gatan
680,Aschebergsgatan,gatan
681,Kapellplatsen,other
682,Kapellgatan,gatan
683,Borraregatan,gatan
684,Ängkärrsvägen,vägen
685,Kusttorgsmotet,motet
686,Delsjövägen,vägen
687,Hundraårsgatan,gatan
688,Halvsekelsgatan,gatan
689,Kamgatan,gatan
690,Slåttängsgatan,gatan
691,Karin Boyes Gata,gatan
692,Aröds Industriväg,vägen
693,Hovåsvägen,vägen
694,Verkmästaregatan,gatan
695,Lindholmsvägen,vägen
696,Miraallén,other
697,Arbetaregatan,gatan
698,Gjutaregatan,gatan
699,Gamla Ceresgatan,gatan
700,Polluxgatan,gatan
701,Kastorsgatan,gatan
702,Slottsberget,other
703,Dockpromenaden,other
704,Svaleboskogen,other
705,Skalskärsgatan,gatan
706,Södra Fiskebäcksvägen,vägen
707,Norra Flundregatan,gatan
708,Rasmusgården,other
709,Klövervallsgatan,gatan
710,Slättadammsgatan,gatan
711,Kungsportsavenyen,other
712,Södra Hamngatan,gatan
713,Norra Deltavägen,vägen
714,Deltavägen,vägen
715,Swedenborgsgatan,gatan
716,Backavägen,vägen
717,Södra Deltavägen,vägen
718,Västra Magårdsvägen,vägen
719,Färgfabriksgatan,gatan
720,Rundbäcksgatan,gatan
721,Långängen,other
722,Tingstadsvägen,vägen
723,Stora Arödsgatan,gatan
724,Tofsvipegatan,gatan
725,Kornknarrsgatan,gatan
726,Steglitsegatan,gatan
727,Svalegatan,gatan
728,Västra Arödsgatan,gatan
729,Lilla Arödsgatan,gatan
730,Ormbunkegatan,gatan
731,Törnsångaregatan,gatan
732,Gamla Böneredsvägen,vägen
733,Nortagenevägen,vägen
734,Böneredsgången,other
735,Ellesbovägen,vägen
736,Rösbovägen,vägen
737,Chalmers Tvärgata,gatan
738,Gibraltarvallsvägen,vägen
739,Origovägen,vägen
740,Furuplatsen,other
741,Fyrverkaregatan,gatan
742,Egnahemsplatsen,other
743,Hedlundsgatan,gatan
744,Ljusstöparegatan,gatan
745,Skiljebacken,backen
746,Tyrsjöliden,other
747,Tyrsjövägen,vägen
748,Kniparedsvägen,vägen
749,Rågårdsvägen,vägen
750,Lövmossevägen,vägen
751,Varpmossevägen,vägen
752,Tåledsvägen,vägen
753,Björkuddsgatan,gatan
754,Hammarliden,other
755,Ingatorpsgatan,gatan
756,Tapetseraregatan,gatan
757,Doktor Dahlströms Gata,gatan
758,Bergsjödalen,other
759,Korpvägen,vägen
760,Angereds Storåsväg,vägen
761,Storås Industrigata,gatan
762,Spadegatan,gatan
763,Grusåsvägen,vägen
764,Hammarkullens väg,vägen
765,Storås Ridhusväg,vägen
766,Ekevadsvägen,vägen
767,Linnarhultsvägen,vägen
768,Nolängsvägen,vägen
769,Gretas Gata,gatan
770,Nedre Linnarhultsvägen,vägen
771,Åliden,other
772,Åbranten,other
773,Åkanten,other
774,Åstranden,other
775,Åbrinken,other
776,Åkroken,other
777,Ostgatan,gatan
778,Smörgatan,gatan
779,Kallebäcks källväg,vägen
780,Kallebäcksvägen,vägen
781,Omvägen,vägen
782,Grafiska Vägen,other
783,Varbergsgatan,gatan
784,Falkenbergsgatan,gatan
785,Brynolfsgatan,gatan
786,Mäster Bengtsgatan,gatan
787,Österlyckan,other
788,Jättekullegatan,gatan
789,Orrebacksgatan,gatan
790,Torpagatan,gatan
791,Spelmansgatan,gatan
792,Gyllenkrooksgatan,gatan
793,Vidblicksgatan,gatan
794,Wijkandersgatan,gatan
795,Walleriusgatan,gatan
796,Palmstedtsgatan,gatan
797,Kortvågsgatan,gatan
798,Mellanvågsgatan,gatan
799,Markvågsgatan,gatan
800,Bandfiltersgatan,gatan
801,Elektrongatan,gatan
802,Örlogsvägen,vägen
803,Örnfelts Väg,other
804,Traneredsvägen,vägen
805,Bergakärrsgatan,gatan
806,Redegatan,gatan
807,Södra Vägen,other
808,Levgrensvägen,vägen
809,Mackliersgatan,gatan
810,Golvläggaregatan,gatan
811,Lillåsgatan,gatan
812,Pärt-Antons gata,gatan
813,Solvändsgatan,gatan
814,Annedals Trappor,other
815,Skeppsbron,other
816,Ögonmåttsgatan,gatan
817,Stenkastsgatan,gatan
818,Synhållsgatan,gatan
819,Verktumsgatan,gatan
820,Vitlinggatan,gatan
821,Bergskäddegatan,gatan
822,Lillövägen,vägen
823,Sikgatan,gatan
824,Abborregatan,gatan
825,Amalia Jönssons gata,gatan
826,Britta Sahlgrens gata,gatan
827,Hulda Lindgrens gata,gatan
828,Beatrice Lesslies gata,gatan
829,Västra Stationsvägen,vägen
830,Värslevägen,vägen
831,Långlyckevägen,vägen
832,Älvdansvägen,vägen
